Õº∆¨–Ú∫≈,‘§≤‚–Ú∫≈,‘§≤‚¿‡±
1811,9,truck
1812,8,ship
1813,9,truck
1814,9,truck
1815,8,ship
1816,1,automoblie
1817,8,ship
1818,6,frog
1819,6,frog
1820,7,horse
1821,8,ship
1822,0,airplane
1823,8,ship
1824,0,airplane
1825,9,truck
1826,6,frog
1827,9,truck
1828,8,ship
1829,8,ship
1830,9,truck
1831,8,ship
1832,0,airplane
1833,6,frog
1834,8,ship
1835,9,truck
1836,8,ship
1837,8,ship
1838,6,frog
1839,8,ship
1840,5,dog
1841,7,horse
1842,1,automoblie
1843,6,frog
1844,6,frog
1845,6,frog
1846,8,ship
1847,0,airplane
1848,8,ship
1849,0,airplane
1850,0,airplane
1851,7,horse
1852,8,ship
1853,0,airplane
1854,9,truck
1855,9,truck
1856,8,ship
1857,1,automoblie
1858,8,ship
1859,9,truck
1860,8,ship
1861,0,airplane
1862,8,ship
1863,3,cat
1864,6,frog
1865,6,frog
1866,0,airplane
1867,0,airplane
1868,8,ship
1869,6,frog
1870,1,automoblie
1871,8,ship
1872,6,frog
1873,9,truck
1874,8,ship
1875,0,airplane
1876,9,truck
1877,8,ship
1878,1,automoblie
1879,9,truck
1880,8,ship
1881,8,ship
1882,9,truck
1883,6,frog
1884,9,truck
1885,8,ship
1886,5,dog
1887,1,automoblie
1888,8,ship
1889,6,frog
1890,9,truck
1891,7,horse
1892,6,frog
1893,9,truck
1894,9,truck
1895,5,dog
1896,6,frog
1897,7,horse
1898,8,ship
1899,7,horse
1900,9,truck
1901,7,horse
1902,8,ship
1903,7,horse
1904,9,truck
1905,9,truck
1906,6,frog
1907,8,ship
1908,9,truck
1909,1,automoblie
1910,6,frog
1911,6,frog
1912,8,ship
1913,9,truck
1914,8,ship
1915,8,ship
1916,8,ship
1917,0,airplane
1918,1,automoblie
1919,0,airplane
1920,8,ship
1921,7,horse
1922,9,truck
1923,8,ship
1924,2,bird
1925,8,ship
1926,7,horse
1927,9,truck
1928,7,horse
1929,6,frog
1930,3,cat
1931,9,truck
1932,0,airplane
1933,7,horse
1934,0,airplane
1935,6,frog
1936,8,ship
1937,8,ship
1938,8,ship
1939,8,ship
1940,9,truck
1941,1,automoblie
1942,0,airplane
1943,9,truck
1944,8,ship
1945,9,truck
1946,7,horse
1947,9,truck
1948,6,frog
1949,8,ship
1950,1,automoblie
1951,8,ship
1952,9,truck
1953,7,horse
1954,9,truck
1955,9,truck
1956,6,frog
1957,9,truck
1958,0,airplane
1959,1,automoblie
1960,1,automoblie
1961,8,ship
1962,3,cat
1963,0,airplane
1964,0,airplane
1965,9,truck
1966,0,airplane
1967,1,automoblie
1968,5,dog
1969,9,truck
1970,6,frog
1971,9,truck
1972,9,truck
1973,1,automoblie
1974,6,frog
1975,6,frog
1976,9,truck
1977,6,frog
1978,6,frog
1979,8,ship
1980,0,airplane
1981,8,ship
1982,8,ship
1983,8,ship
1984,0,airplane
1985,3,cat
1986,9,truck
1987,0,airplane
1988,8,ship
1989,9,truck
1990,3,cat
1991,9,truck
1992,9,truck
1993,6,frog
1994,8,ship
1995,8,ship
1996,5,dog
1997,0,airplane
1998,1,automoblie
1999,1,automoblie
2000,8,ship
2001,6,frog
2002,9,truck
2003,3,cat
2004,0,airplane
2005,6,frog
2006,9,truck
2007,6,frog
2008,6,frog
2009,8,ship
2010,7,horse
2011,0,airplane
2012,9,truck
2013,6,frog
2014,3,cat
2015,6,frog
2016,9,truck
2017,6,frog
2018,8,ship
2019,9,truck
2020,8,ship
2021,8,ship
2022,7,horse
2023,0,airplane
2024,6,frog
2025,8,ship
2026,9,truck
2027,6,frog
2028,1,automoblie
2029,9,truck
2030,6,frog
2031,6,frog
2032,9,truck
2033,8,ship
2034,8,ship
2035,8,ship
2036,8,ship
2037,8,ship
2038,3,cat
2039,4,deer
2040,8,ship
2041,8,ship
2042,4,deer
2043,8,ship
2044,7,horse
2045,8,ship
2046,8,ship
2047,3,cat
2048,6,frog
2049,8,ship
2050,9,truck
2051,8,ship
2052,1,automoblie
2053,8,ship
2054,8,ship
2055,9,truck
2056,6,frog
2057,8,ship
2058,9,truck
2059,9,truck
2060,0,airplane
2061,9,truck
2062,7,horse
2063,8,ship
2064,0,airplane
2065,7,horse
2066,9,truck
2067,8,ship
2068,8,ship
2069,8,ship
2070,9,truck
2071,1,automoblie
2072,3,cat
2073,0,airplane
2074,0,airplane
2075,9,truck
2076,0,airplane
2077,8,ship
2078,6,frog
2079,9,truck
2080,8,ship
2081,9,truck
2082,0,airplane
2083,0,airplane
2084,8,ship
2085,0,airplane
2086,8,ship
2087,1,automoblie
2088,8,ship
2089,8,ship
2090,5,dog
2091,8,ship
2092,8,ship
2093,8,ship
2094,0,airplane
2095,9,truck
2096,9,truck
2097,9,truck
2098,8,ship
2099,9,truck
2100,9,truck
2101,9,truck
2102,6,frog
2103,8,ship
2104,3,cat
2105,6,frog
2106,9,truck
2107,6,frog
2108,9,truck
2109,8,ship
2110,9,truck
2111,6,frog
2112,9,truck
2113,1,automoblie
2114,0,airplane
2115,6,frog
2116,8,ship
2117,9,truck
2118,1,automoblie
2119,9,truck
2120,8,ship
2121,6,frog
2122,9,truck
2123,9,truck
2124,9,truck
2125,8,ship
2126,9,truck
2127,9,truck
2128,7,horse
2129,0,airplane
2130,8,ship
2131,0,airplane
2132,9,truck
2133,7,horse
2134,9,truck
2135,8,ship
2136,6,frog
2137,9,truck
2138,6,frog
2139,1,automoblie
2140,9,truck
2141,8,ship
2142,5,dog
2143,0,airplane
2144,8,ship
2145,6,frog
2146,8,ship
2147,9,truck
2148,8,ship
2149,9,truck
2150,0,airplane
2151,0,airplane
2152,1,automoblie
2153,8,ship
2154,8,ship
2155,8,ship
2156,5,dog
2157,0,airplane
2158,9,truck
2159,3,cat
2160,8,ship
2161,9,truck
2162,6,frog
2163,0,airplane
2164,9,truck
2165,8,ship
2166,0,airplane
2167,6,frog
2168,6,frog
2169,9,truck
2170,8,ship
2171,4,deer
2172,8,ship
2173,9,truck
2174,8,ship
